Date,Open,High,Low,Close
2018-04-12 16:00:00-04:00,337.28,338.12,336.5536,337.34
2018-04-12 15:00:00-04:00,336.09,337.3,335.7901,337.27
2018-04-12 14:00:00-04:00,338.08,338.35,335.06,336.09
2018-04-12 13:00:00-04:00,334.2976,338.35,334.0801,338.015
2018-04-12 12:00:00-04:00,332.61,334.77,332.28,334.41
2018-04-12 11:00:00-04:00,334.3575,334.85,332.55,332.7
2018-04-12 10:00:00-04:00,331.82,335.06,330.46,334.3487
2018-04-12 09:00:00-04:00,330.8733,331.85,330.75,331.85
2018-04-12 08:00:00-04:00,330.79,330.95,330.44,330.44
2018-04-12 07:00:00-04:00,330.8,330.8,330.8,330.8
2018-04-11 20:00:00-04:00,328.3,329.99,328.3,329.51
2018-04-11 19:00:00-04:00,328.5,328.5,327.95,328.01
2018-04-11 18:00:00-04:00,327.75,328.5,327.75,328.5
2018-04-11 17:00:00-04:00,327.38,329.459,327,327.65
2018-04-11 16:00:00-04:00,328.4,328.51,326.31,327.44
2018-04-11 15:00:00-04:00,329.97,330.18,327.9032,328.29
2018-04-11 14:00:00-04:00,330.8952,331.74,329.67,329.8941
2018-04-11 13:00:00-04:00,332.65,334.3,330.28,330.94
2018-04-11 12:00:00-04:00,332.4552,333.599,330.881,332.575
2018-04-11 11:00:00-04:00,336.59,337.13,332.4,332.4
2018-04-11 10:00:00-04:00,332.05,337.57,331.3,336.6425
2018-04-11 09:00:00-04:00,331.2,333,330,332.25
2018-04-11 08:00:00-04:00,332,332.4,329.5,332.4
2018-04-11 07:00:00-04:00,331.77,331.77,331.77,331.77
2018-04-11 05:00:00-04:00,332.75,332.75,332.75,332.75
2018-04-10 20:00:00-04:00,334.4,334.4,334.16,334.16
2018-04-10 19:00:00-04:00,335.17,335.17,334.4,334.4
2018-04-10 18:00:00-04:00,334.8,334.8,334.5,334.5
2018-04-10 17:00:00-04:00,334.83,335.19,333.6958,334.6
2018-04-10 16:00:00-04:00,335.36,335.62,334.145,334.71
2018-04-10 15:00:00-04:00,334.79,336.3,333.38,335.2963
2018-04-10 14:00:00-04:00,331.3,334.78,330.84,334.7228
2018-04-10 13:00:00-04:00,333.9808,334.3298,330.39,331.29
2018-04-10 12:00:00-04:00,333.5,336.69,333.47,334.0219
2018-04-10 11:00:00-04:00,330.86,334.98,330.16,333.47
2018-04-10 10:00:00-04:00,330.4,333.95,329.55,330.91
2018-04-10 09:00:00-04:00,329.49,332.7,329.49,330.5
2018-04-10 08:00:00-04:00,328.9,332.8,328.9,332
2018-04-10 07:00:00-04:00,329.5,329.5,328.9,328.9
2018-04-10 06:00:00-04:00,329.5,329.5,329.5,329.5
2018-04-10 05:00:00-04:00,329.46,329.5,329.46,329.5
2018-04-09 20:00:00-04:00,323,323.45,323,323
2018-04-09 19:00:00-04:00,323.03,323.6,323.03,323.6
2018-04-09 18:00:00-04:00,323.1,323.99,323.05,323.99
2018-04-09 17:00:00-04:00,322.48,323.38,322.48,323.38
2018-04-09 16:00:00-04:00,328.5,329.34,322.05,322.54
2018-04-09 15:00:00-04:00,329.67,329.88,327.831,328.37
2018-04-09 14:00:00-04:00,329.19,337.94,328.8,329.68
2018-04-09 13:00:00-04:00,329.751,330.4112,328.895,329.043
2018-04-09 12:00:00-04:00,329.97,330.13,328.26,329.8033
2018-04-09 11:00:00-04:00,330.41,331.16,328.794,329.85
2018-04-09 10:00:00-04:00,331.99,334.88,330.1,330.25
2018-04-09 09:00:00-04:00,332.5,333,329.6,332.03
2018-04-09 08:00:00-04:00,330.35,332.5,329.56,332.5
2018-04-06 20:00:00-04:00,326.1,326.4,326,326.4
2018-04-06 19:00:00-04:00,325.55,325.55,325.29,325.29
2018-04-06 18:00:00-04:00,325.8,326.25,325.8,326.22
2018-04-06 17:00:00-04:00,329.4998,329.4998,325.75,326.12
2018-04-06 16:00:00-04:00,322.8072,326.94,322.23,325.96
2018-04-06 15:00:00-04:00,325.1,325.54,322.21,322.76
2018-04-06 14:00:00-04:00,329.639,329.64,325.11,325.11
2018-04-06 13:00:00-04:00,328.41,330.15,326.695,329.775
2018-04-06 12:00:00-04:00,328.02,337.82,326.11,328.45
2018-04-06 11:00:00-04:00,333.12,333.709,327.77,328.22
2018-04-06 10:00:00-04:00,330.78,334.59,329.56,333.2929
2018-04-06 09:00:00-04:00,328.525,332,328.01,331
2018-04-06 08:00:00-04:00,328.5,330,328.06,328.43
2018-04-06 07:00:00-04:00,328.73,328.73,328.73,328.73
2018-04-06 06:00:00-04:00,325.75,325.75,325.75,325.75
2018-04-06 05:00:00-04:00,325.2,327,325.2,327
2018-04-05 20:00:00-04:00,331.96,331.96,325,325.36
2018-04-05 19:00:00-04:00,336.4,336.45,333,333
2018-04-05 18:00:00-04:00,336.3,336.3,336,336.02
2018-04-05 17:00:00-04:00,336.4,336.4,336,336.4
2018-04-05 16:00:00-04:00,335.755,337.36,334.902,336.39
2018-04-05 15:00:00-04:00,333.325,335.8,332.79,335.79
2018-04-05 14:00:00-04:00,335.3,335.79,332.65,333.325
2018-04-05 13:00:00-04:00,337,337.45,334.45,335.2817
2018-04-05 12:00:00-04:00,336.94,338.9599,336.1,336.965
2018-04-05 11:00:00-04:00,333.72,337.38,333.52,336.89
2018-04-05 10:00:00-04:00,330.39,334.64,330.09,333.671
2018-04-05 09:00:00-04:00,330.01,331.39,327.48,330
2018-04-05 08:00:00-04:00,329.39,331.39,329.39,331
2018-04-05 05:00:00-04:00,328.5,328.5,328.5,328.5
2018-04-04 20:00:00-04:00,327.99,327.99,327.45,327.45
2018-04-04 19:00:00-04:00,327,327,327,327
2018-04-04 18:00:00-04:00,327.44,327.44,327.2,327.3
2018-04-04 17:00:00-04:00,330.82,330.82,321.688,327
2018-04-04 16:00:00-04:00,323.63,327.81,323.17,327.41
2018-04-04 15:00:00-04:00,321.87,324.89,321.85,323.73
2018-04-04 14:00:00-04:00,322.64,322.74,320.65,321.7383
2018-04-04 13:00:00-04:00,321.96,323.7953,321.45,322.62
2018-04-04 12:00:00-04:00,321.32,323.4299,319.44,321.9404
2018-04-04 11:00:00-04:00,318.39,321.47,316.02,321.34
2018-04-04 10:00:00-04:00,316.28,321.94,311.5,318.34
2018-04-04 09:00:00-04:00,314.5,317.84,311,316.3
2018-04-04 08:00:00-04:00,311.65,317.9,311.57,315.66
2018-04-04 07:00:00-04:00,312.24,312.24,306,311
2018-04-04 06:00:00-04:00,313.13,313.13,311.15,311.15
2018-04-04 05:00:00-04:00,319.58,320,313,313
2018-04-03 20:00:00-04:00,328.01,328.1,328.01,328.01
2018-04-03 19:00:00-04:00,330.11,330.11,329.75,329.75
2018-04-03 18:00:00-04:00,330.77,331,330.05,330.05
2018-04-03 17:00:00-04:00,330.7,330.85,330.69,330.82
2018-04-03 16:00:00-04:00,327.9,331.1,327.63,330.7
2018-04-03 15:00:00-04:00,327.73,328.6226,325.11,328.035
2018-04-03 14:00:00-04:00,325.46,327.7664,324.73,327.59
2018-04-03 13:00:00-04:00,325.04,326.23,324.58,325.47
2018-04-03 12:00:00-04:00,327.89,328.8179,324.83,324.925
2018-04-03 11:00:00-04:00,325.965,327.89,323.5,327.8899
2018-04-03 10:00:00-04:00,325.2,327.85,323.09,325.965
2018-04-03 09:00:00-04:00,323.75,325.5,322.44,325.46
2018-04-03 08:00:00-04:00,324,324,323.45,323.9
2018-04-03 07:00:00-04:00,323.71,325,323.71,325
2018-04-02 20:00:00-04:00,322.89,322.89,322.89,322.89
2018-04-02 19:00:00-04:00,322.5,322.5,322.25,322.3
2018-04-02 18:00:00-04:00,322.99,322.99,322,322.88
2018-04-02 17:00:00-04:00,322,322.55,321.35,321.35
2018-04-02 16:00:00-04:00,319,322.4,318.36,322.23
2018-04-02 15:00:00-04:00,318.44,319.97,317.17,319.047
2018-04-02 14:00:00-04:00,320.79,321.566,318.01,318.52
2018-04-02 13:00:00-04:00,322.0562,322.7,320.19,320.86
2018-04-02 12:00:00-04:00,325.52,325.52,320.64,322.1567
2018-04-02 11:00:00-04:00,328.771,329.57,325.15,325.35
2018-04-02 10:00:00-04:00,325.1,329.9419,324.54,328.91
2018-04-02 09:00:00-04:00,328,328,324,327.88
2018-04-02 08:00:00-04:00,327.8,327.8,325.25,325.5
2018-03-29 20:00:00-04:00,328.25,328.25,328,328
2018-03-29 19:00:00-04:00,328.25,328.25,328.25,328.25
2018-03-29 18:00:00-04:00,327.84,327.88,327.5,327.67
2018-03-29 17:00:00-04:00,327.81,328.03,326.3411,327.88
2018-03-29 16:00:00-04:00,329.5,330.42,327.505,327.84
2018-03-29 15:00:00-04:00,328.6403,330.48,327.72,329.6269
2018-03-29 14:00:00-04:00,325.531,329.289,324.84,328.68
2018-03-29 13:00:00-04:00,326.58,326.72,324.87,325.54
2018-03-29 12:00:00-04:00,325.6869,327.1899,325.17,326.48
2018-03-29 11:00:00-04:00,323.02,325.66,322.05,325.66
2018-03-29 10:00:00-04:00,323.6,325.13,322,322.94
2018-03-29 09:00:00-04:00,324,324.99,322,323.88
2018-03-29 08:00:00-04:00,322.2,324.71,321.69,324.71
2018-03-28 20:00:00-04:00,320.75,320.75,320.66,320.75
2018-03-28 19:00:00-04:00,321,321.89,320.66,321.89
2018-03-28 18:00:00-04:00,320.83,321,320.12,321
2018-03-28 17:00:00-04:00,320.02,321.35,319.4126,320.51
2018-03-28 16:00:00-04:00,320.52,321.76,317.96,319.97
